objectID,accessionNumber,artistDisplayName,title,objectDate,medium,dimensions,measurements.Height,measurements.Width,department,primaryImage
435752,1993.402,William Bouguereau,Young Mother Gazing at Her Child,1871,Oil on canvas,56 x 40 1/2 in. (142.2 x 102.9 cm),142.2,102.9,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-16481-001.jpg
435753,60.122,William Bouguereau,The Proposal,1872,Oil on canvas,64 3/8 x 44 in. (163.5 x 111.8 cm),163.5,111.8,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-23423-001.jpg
435754,87.15.32,William Bouguereau,Breton Brother and Sister,1871,Oil on canvas,50 7/8 x 35 1/8 in. (129.2 x 89.2 cm),129.2,89.2,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT2566.jpg
435755,1974.2,Sébastien Bourdon,The Baptism of Christ,ca. 1650,Oil on canvas,Overall 59 3/4 x 46 1/2 in. (151.8 x 118.1 cm); painted surface (oval) 59 1/8 x 45 1/2 in. (150.2 x 115.6 cm),151.8,118.1,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT10696.jpg
435756,1985.90,Sébastien Bourdon,A Classical Landscape,probably 1660s,Oil on canvas,27 1/2 x 36 1/4 in. (69.9 x 92.1 cm),69.9,92.1,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP123839.jpg
435758,25.106.17,Joseph Marie Bouton,A Woman Playing a Harp,,Ivory,Diameter 3 1/2 in. (90 mm),8.9,8.9,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP327724.jpg
435759,60.55.2,Aelbert Bouts,Head of Saint John the Baptist on a Charger,ca. 1500,Oil on poplar,Diameter 11 1/8 in. (28.3 cm),28.3,28.3,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP345354.jpg
435761,14.40.644,Dieric Bouts,Portrait of a Man,ca. 1470,Oil on wood,Overall 12 x 8 1/2 in. (30.5 x 21.6 cm); painted surface 11 5/8 x 8 1/8 in. (29.5 x 20.6 cm),30.5,21.6,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-14975-001.jpg
435762,30.95.280,Dieric Bouts,Virgin and Child,ca. 1455–60,Oil on wood,8 1/2 x 6 1/2 in. (21.6 x 16.5 cm),21.6,16.5,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-20589-001.jpg
435763,71.156–57,Dieric Bouts,The Mourning Virgin; Christ Crowned with Thorns,,Oil on oak,Each 16 x 12 1/2 in. (40.6 x 31.8 cm),40.6,31.8,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT241954.jpg
435764,22.96,Hans Traut,Virgin and Child,,"Oil, gold, and silver on linden",15 5/8 x 12 1/8 in. (39.7 x 30.8 cm),39.7,30.8,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP164802.jpg
435765,1982.60.16,Dieric Bouts,Virgin and Child,1475–99,Oil on wood,Overall 11 1/2 x 8 1/4 in. (29.2 x 21 cm); painted surface 11 1/4 x 7 3/4 in. (28.6 x 19.7 cm),29.2,21.0,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT7240.jpg
435766,49.7.18,Dieric Bouts,Virgin and Child,1475–99,Oil on wood,11 1/2 x 8 1/4 in. (29.2 x 21 cm),29.2,21.0,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-23268-001.jpg
435768,12.178.2,Bramantino (Bartolomeo Suardi),Madonna and Child,before 1508,Tempera on wood,Overall 13 1/2 x 11 1/4 in. (34.3 x 28.6 cm); painted surface 13 1/2 x 10 7/8 in. (34.3 x 27.6 cm),34.3,28.6,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT5282.jpg
435769,11.73,Leonaert Bramer,The Judgment of Solomon,1640s,Oil on wood,31 1/8 x 40 1/2 in. (79.1 x 102.9 cm),79.1,102.9,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP145897.jpg
435770,1991.305,Bartholomeus Breenbergh,The Preaching of John the Baptist,1634,Oil on wood,21 1/2 x 29 5/8 in. (54.6 x 75.2 cm),54.6,75.2,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP145412.jpg
