objectID,accessionNumber,artistDisplayName,title,objectDate,medium,dimensions,measurements.Height,measurements.Width,department,primaryImage
51853,65.211.1,Unidentified artist,Two Europeans Playing with a Monkey,18th century,Hanging scroll; ink and color on silk,Overall: 17 1/2 x 11 7/8in. (44.5 x 30.2cm),44.5,30.2,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-33227-002.jpg
51854,65.211.2,Unidentified artist,European Couple and Child Playing with Parrot,18th century,Hanging scroll; ink and color on silk,17 3/4 x 11 3/4 in. (45.1 x 29.8 cm) (unmounted),45.1,29.8,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-37446-002.jpg
51903,58.79.4a–l,Unidentified artist,Album Containing Twelve Paintings of People Making Silk,19th century,Album of twelve leaves; color on pith paper,"Image (each): 8 3/4 × 13 1/4 in. (22.2 × 33.7 cm)
Overall (album): 9 3/4 × 14 5/8 × 1/2 in. (24.8 × 37.1 × 1.3 cm)",22.225044,33.655067,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP156911_CRD.jpg
52080,13.220.24,Unidentified artist,White Lotus Society,15th century,Handscroll; ink on paper,11 7/8 in. × 19 ft. 5 1/2 in. (30.2 × 593.1 cm),30.2,593.1,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP215389_CRD.jpg
53164,2015.300.4,Takuma Tametō,"Daishōjin Bosatsu, from “Album of Buddhist Deities from the Diamond World and Womb World Mandalas”",12th century,"Fragment of an album, mounted as a hanging scroll; ink, color, and gold on paper","Image: 9 3/4 in. × 5 in. (24.7 × 12.7 cm)
Overall with mounting: 46 1/16 × 14 3/16 in. (117 × 36 cm)
Overall with knobs: 46 1/16 × 15 7/8 in. (117 × 40.3 cm)",24.7,12.7,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-12232-004.jpg
53178,2015.300.7,,Scene from The Illustrated Sutra of Past and Present Karma (Kako genzai e-inga-kyō; Matsunaga Version),late 13th century,Handscroll; ink and color on paper,H. 10 15/16 in. (27.8 cm); W. 61 5/8 in. (156.5 cm),27.8,156.5,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP363359.jpg
53179,2015.300.1,,"Shaka (Shakyamuni), the Historical Buddha, with Two Attendant Bodhisattvas and Sixteen Arhats",14th century,"Hanging scroll; ink, color, and gold on silk","Image: 56 1/8 × 29 13/16 in. (142.5 × 75.7 cm)
Overall with mounting: 96 7/16 × 39 1/8 in. (245 × 99.3 cm)
Overall with knobs: 96 7/16 × 42 3/8 in. (245 × 107.6 cm)",142.5,75.7,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP361141.jpg
53180,2015.300.6,,"Satsubari, the Second of the Sixteen Arhats",late 14th century,Hanging scroll; ink and color on silk,"Image: 45 11/16 × 19 3/8 in. (116 × 49.2 cm)
Overall with mounting: 75 3/8 × 25 7/16 in. (191.5 × 64.6 cm)
Overall with knobs: 75 3/8 × 27 1/4 in. (191.5 × 69.2 cm)",116.0,49.212597,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-12232-006.jpg
53181,2015.300.8,,Scene from The Illustrated Legends of Jin’ōji Temple,early 14th century,Fragment of a handscroll mounted as a hanging scroll; ink and color on paper,"Image: 13 1/2 × 21 15/16 in. (34.3 × 55.7 cm)
Overall with mounting: 49 7/16 × 26 15/16 in. (125.5 × 68.5 cm)
Overall with knobs: 49 7/16 × 29 1/16 in. (125.5 × 73.8 cm)",34.29007,55.7,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-12232-008.jpg
53189,2015.300.13,,Seiryū Gongen,mid-14th century,Hanging scroll; ink and color on silk,"Image: 35 13/16 × 17 5/8 in. (91 × 44.7 cm)
Overall with mounting: 68 7/8 × 24 13/16 in. (175 × 63 cm)
Overall with knobs: 68 7/8 × 25 7/8 in. (175 × 65.8 cm)",91.0,44.7,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-12232-014.jpg
