objectID,artistDisplayName,title,objectDate,medium,dimensions,department,img_id,img_url,img_area,eye_count
895426,Saitō Motonari,Illustrations of Uji Tea Production,1803,Handscroll of thirty-two sheets reformatted as a folding album (orihon),"Orihon; image: 12 5/8 in. × 54 ft. 3/4 in. (32.1 × 1647.8 cm)
Overall: 12 5/8 in. × 57 ft. 5 1/4 in. (32.1 × 1750.7 cm)",Asian Art,895426_002,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/895426_002.avif,4028,2
895426,Saitō Motonari,Illustrations of Uji Tea Production,1803,Handscroll of thirty-two sheets reformatted as a folding album (orihon),"Orihon; image: 12 5/8 in. × 54 ft. 3/4 in. (32.1 × 1647.8 cm)
Overall: 12 5/8 in. × 57 ft. 5 1/4 in. (32.1 × 1750.7 cm)",Asian Art,895426_003,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/895426_003.avif,4410,2
895426,Saitō Motonari,Illustrations of Uji Tea Production,1803,Handscroll of thirty-two sheets reformatted as a folding album (orihon),"Orihon; image: 12 5/8 in. × 54 ft. 3/4 in. (32.1 × 1647.8 cm)
Overall: 12 5/8 in. × 57 ft. 5 1/4 in. (32.1 × 1750.7 cm)",Asian Art,895426_004,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/895426_004.avif,4233,2
895426,Saitō Motonari,Illustrations of Uji Tea Production,1803,Handscroll of thirty-two sheets reformatted as a folding album (orihon),"Orihon; image: 12 5/8 in. × 54 ft. 3/4 in. (32.1 × 1647.8 cm)
Overall: 12 5/8 in. × 57 ft. 5 1/4 in. (32.1 × 1750.7 cm)",Asian Art,895426_005,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/895426_005.avif,3808,2
897105,Unidentified artist,Wakashu (Male Youth) with Two Swords,late 17th century,Hanging scroll: ink and color on silk,"Image: 25 15/16 × 9 15/16 in. (65.9 × 25.2 cm)
Overall with mounting: 61 7/8 × 14 5/16 in. (157.2 × 36.4 cm)
Overall with knobs: 61 7/8 × 16 1/16 in. (157.2 × 40.8 cm)",Asian Art,897105_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/897105_000.avif,4920,4
897107,Yinyuan Longqi (Ingen Ryūki),One-Column Calligraphy on the Sound of Wind amidst Pines,late 17th century,Hanging scroll; ink on paper,"Image: 47 1/4 × 10 1/2 in. (120 × 26.7 cm)
Overall with mounting: 79 5/8 × 15 3/8 in. (202.2 × 39.1 cm)
Overall with knobs: 79 5/8 × 17 9/16 in. (202.2 × 44.6 cm)",Asian Art,897107_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/897107_000.avif,52,0
897133,Tani Bunchō,Portrait of Zhu Xi,1796,Hanging scroll; ink and color on silk,"Image: 40 1/2 × 13 1/8 in. (102.9 × 33.3 cm)
Overall with mounting: 76 1/8 × 18 7/16 in. (193.4 × 46.8 cm)
Overall with knobs: 76 1/8 × 20 9/16 in. (193.4 × 52.2 cm)",Asian Art,897133_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/897133_000.avif,17934,2
897141,Kawanabe Kyōsai,Painting and Calligraphy Gathering at the Nakamurarō in Ryōgoku,ca. 1876,Hanging scroll; ink and color on paper,"Image: 54 1/2 × 25 3/8 in. (138.5 × 64.5 cm)
Overall with mounting: 83 1/2 × 31 13/16 in. (212.1 × 80.8 cm)
Overall with knobs: 83 1/2 × 36 5/8 in. (212.1 × 93 cm)",Asian Art,897141_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/897141_000.avif,1320,2
897141,Kawanabe Kyōsai,Painting and Calligraphy Gathering at the Nakamurarō in Ryōgoku,ca. 1876,Hanging scroll; ink and color on paper,"Image: 54 1/2 × 25 3/8 in. (138.5 × 64.5 cm)
Overall with mounting: 83 1/2 × 31 13/16 in. (212.1 × 80.8 cm)
Overall with knobs: 83 1/2 × 36 5/8 in. (212.1 × 93 cm)",Asian Art,897141_002,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/897141_002.avif,2077,1
897141,Kawanabe Kyōsai,Painting and Calligraphy Gathering at the Nakamurarō in Ryōgoku,ca. 1876,Hanging scroll; ink and color on paper,"Image: 54 1/2 × 25 3/8 in. (138.5 × 64.5 cm)
Overall with mounting: 83 1/2 × 31 13/16 in. (212.1 × 80.8 cm)
Overall with knobs: 83 1/2 × 36 5/8 in. (212.1 × 93 cm)",Asian Art,897141_003,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/897141_003.avif,2590,2
